episode,total_reward,steps,epsilon,mean_step_reward,timestamp,current_lr
45,-27832.40000000002,1000,0.798065677681905,-27.832399999999996,2025-09-09T19:57:22.100273,0.0001
46,-110179.30000000005,1000,0.7940753492934954,-110.1793,2025-09-09T19:57:56.422802,0.0001
47,-150729.99999999907,1000,0.7901049725470279,-150.73,2025-09-09T19:58:34.542643,0.0001
48,-24042.300000000014,1000,0.7861544476842928,-24.042299999999997,2025-09-09T19:59:02.344386,0.0001
49,-21478.300000000003,1000,0.7822236754458713,-21.478300000000004,2025-09-09T19:59:29.434081,0.0001
50,-41197.10000000002,1000,0.778312557068642,-41.197100000000006,2025-09-09T19:59:57.011237,0.0001
51,-25632.599999999995,1000,0.7744209942832988,-25.6326,2025-09-09T20:02:26.487449,0.0001
52,-22500.000000000004,1000,0.7705488893118823,-22.5,2025-09-09T20:02:51.609307,0.0001
53,-32603.39999999999,1000,0.7666961448653229,-32.6034,2025-09-09T20:03:18.363820,0.0001
54,-31018.10000000001,1000,0.7628626641409962,-31.018099999999997,2025-09-09T20:03:46.546129,0.0001
55,-181161.00000000067,1000,0.7590483508202912,-181.161,2025-09-09T20:04:22.854534,0.0001
56,-32202.299999999977,1000,0.7552531090661897,-32.2023,2025-09-09T20:04:50.756074,0.0001
57,-28894.100000000002,1000,0.7514768435208588,-28.894099999999998,2025-09-09T20:05:17.828434,0.0001
58,-103988.50000000006,1000,0.7477194593032545,-103.9885,2025-09-09T20:05:48.501650,0.0001
59,-22892.00000000001,1000,0.7439808620067382,-22.892000000000003,2025-09-09T20:06:16.064320,0.0001
60,-164212.90000000063,1000,0.7402609576967045,-164.21290000000002,2025-09-09T20:06:51.032570,0.0001
61,-28047.89999999999,1000,0.736559652908221,-28.0479,2025-09-09T20:07:18.241967,0.0001
62,-27746.000000000015,1000,0.7328768546436799,-27.746000000000002,2025-09-09T20:07:44.196694,0.0001
63,-28900.600000000013,1000,0.7292124703704616,-28.900600000000004,2025-09-09T20:08:12.971942,0.0001
64,-13218.699999999988,1000,0.7255664080186093,-13.218700000000005,2025-09-09T20:08:38.543541,0.0001
65,-19910.49999999998,1000,0.7219385759785162,-19.9105,2025-09-09T20:09:03.333639,0.0001
66,-132041.80000000016,1000,0.7183288830986236,-132.0418,2025-09-09T20:09:39.541859,0.0001
67,-144040.29999999987,1000,0.7147372386831305,-144.0403,2025-09-09T20:10:13.756401,0.0001
